"NAME","RELATED_NAME"
"Colvard Farms","R707U - 751 SOUTH FUTURE USE"
"R822D - WALL TOWN","Walltown"
"R822C - TRINITY HEIGHTS","Walltown"
"R822C - TRINITY HEIGHTS","Trinity Heights"
"R822D - WALL TOWN","Trinity Park"
"R822A - TRINITY PARK","Trinity Park"
"R822E - OLD W DURHAM","Watts Hospital-Hillandale"
"R822F - WATTS HILLANDALE","Watts Hospital-Hillandale"
"R822E - OLD W DURHAM","Old West Durham"
"R822G - BROAD ACRES","Walltown"
"R822G - BROAD ACRES","Watts Hospital-Hillandale"
"R811A - DUKE UNIV HOMESITES SEC6","Duke Forest"
"R822H - WARREN PARK","Watts Hospital-Hillandale"
"R822C - TRINITY HEIGHTS","Trinity Park"
"R832B - DUKE PARK","Duke Park"
"R821E - W CHAPEL HILL RD","Burch Avenue"
"R821E - W CHAPEL HILL RD","Brookstown"
"R811H - ANDERSON ST 2","Anderson St. / Wrightwood Park"
"R811F - CHAPEL HILL RD","Anderson St. / Wrightwood Park"
"R811G - ANDERSON ST","Anderson St. / Wrightwood Park"
"R811F - CHAPEL HILL RD","Tuscaloosa-Lakewood"
"R811F - CHAPEL HILL RD","Lakewood Park"
"R812A - CREST ST","Crest Street"
"R832C - OLD N DURHAM","Old North Durham"
"R832G - NORTH AND GEER","Old North Durham"
"R822B - TYLER CT","Trinity Park"
"R822K - CLUB AND WASHINGTON","Northgate Park"
"R822J - HACKNEY","Walltown"
"R822I - I-85 & BROAD NE","West Murray / Broad"
"R822I - I-85 & BROAD NE","Northgate Park"
"R832E - NE ROXBORO & I-85","Northgate Park"
"R822A - TRINITY PARK","Northgate Park"
"R810K - MARTIN LUTHER KG/HOPE VAL","Rockwood"
"R810K - MARTIN LUTHER KG/HOPE VAL","Preston Woods"
"R820A - ARCHDALE AND ROXBORO","Rockwood"
"R820F - PRESIDENTIAL","College View / NCCU"
"R820A - ARCHDALE AND ROXBORO","Forest Hills"
"R820A - ARCHDALE AND ROXBORO","Parkside"
"R820H - FOREST HILLS","Parkside"
"R820E - PARKSIDE","Parkside"
"R820H - FOREST HILLS","Forest Hills"
"R820E - PARKSIDE","Forest Hills"
"R821C - ROSELAND AVE","Rockwood"
"R821C - ROSELAND AVE","Long Meadow"
"R811F - CHAPEL HILL RD","Long Meadow"
"R821D - LAKEWOOD","Lyon Park"
"R821D - LAKEWOOD","Lakewood Park"
"R821D - LAKEWOOD","Long Meadow"
"R821C - ROSELAND AVE","Lakewood Park"
"R811G - ANDERSON ST","Cranford Road"
"R821E - W CHAPEL HILL RD","West End"
"C821D - FOREST HILLS CENTER","West End"
"R811G - ANDERSON ST","West End"
"C811A - DUKE UNIV.","Duke West Campus"
"R821E - W CHAPEL HILL RD","Duke West Campus"
"C832G - I85 AT ROXBORO ST.","Colonial Village"
"R832E - NE ROXBORO & I-85","Bragtown"
"R832A - CAMDEN & AVONDALE","Duke Park"
"C832E - MARKHAM @ CAMDEN","Duke Park"
"R832H","Old North Durham"
"R832C - OLD N DURHAM","Old Five Points"
"R831H - CLEVELAND HOLLOWAY","Cleveland-Holloway"
"C831G - ROXBORO SPOT","Cleveland-Holloway"
"R832C - OLD N DURHAM","Cleveland-Holloway"
"R831C - OLD EAST DURHAM","Albright"
"R831C - OLD EAST DURHAM","Old East Durham"
"C831E - ELIZABETH C&I","Old East Durham"
"R831H - CLEVELAND HOLLOWAY","Albright"
"R831C - OLD EAST DURHAM","Eastway Village"
"R831C - OLD EAST DURHAM","Franklin Village"
"R831H - CLEVELAND HOLLOWAY","Golden Belt"
"R831C - OLD EAST DURHAM","Edgemont"
"R831B - MAIN & ELM","Edgemont"
"C831C - E. DURHAM C&I","Old East Durham"
"R831J - ANGIER AVENUE","Old East Durham"
"R831C - OLD EAST DURHAM","Wellons Village"
"R821E - W CHAPEL HILL RD","Morehead Hill"
"D821S - S DUKE ST","Morehead Hill"
"C821C - DUKE ST. O&I","Morehead Hill"
"R821D - LAKEWOOD","Morehead Hill"
"R821G - ORCHARD PARK","Morehead Hill"
"R820H - FOREST HILLS","Morehead Hill"
"R821C - ROSELAND AVE","Forest Hills"
"R820G - RES SOUTH OF NCCU","College View / NCCU"
"R820D - FAYETTEVILLE AND HOMELAND","College View / NCCU"
"R811F - CHAPEL HILL RD","Duke Forest"
"R811A - DUKE UNIV HOMESITES SEC6","Anderson St. / Wrightwood Park"
"C821E - NC CENTRAL AREA","College View / NCCU"
"R821B - SOUTHSIDE","Southside / St. Teresa"
"R830G - HABITATE HAY DEVELOPMENT","Grant Street"
"R821A - SOUTHSIDE NEW CONSTR","Southside / St. Teresa"
"R810K - MARTIN LUTHER KG/HOPE VAL","Tuscaloosa-Lakewood"
"R812C - SPRUNT & MOUNTAINVIEW","Watts Hospital-Hillandale"
"R832E - NE ROXBORO & I-85","Colonial Village"
"C823H - DURHAM HOSPITAL AREA","Northgate Park"
"R811E - 501 & CORNWALLIS","Duke Forest"
"R811C - CAMERON WOODS","Cameron Woods"
"R811B - DUKE UNIV HOMESITES SEC 9","Duke Forest"
"R810M - VALLEY RAN","Valley Run"
"R810K - MARTIN LUTHER KG/HOPE VAL","Valley Run"
"R810K - MARTIN LUTHER KG/HOPE VAL","Chapel Hill Road"
"R810K - MARTIN LUTHER KG/HOPE VAL","Dixon Road Area"
"R719F - CARLTON CROSSING","Hope Valley"
"R810S - SHERIDAN DR","Green Mill"
"R810G - HOPE VALLEY NORTH","Hope Valley North"
"R810G - HOPE VALLEY NORTH","Hope Valley"
"R719F - CARLTON CROSSING","Hope Valley North"
"R810K - MARTIN LUTHER KG/HOPE VAL","Hope Valley Downs"
"C810E - OLD CHAPEL HILL/UNVSTY DR","Dixon Road Area"
"R810N - LASSITER ST","Dixon Road Area"
"R810B - WINTON RD","Dixon Road Area"
"R810H - GREEN MILL","Colchester"
"R810H - GREEN MILL","Hope Valley North"
"R810G - HOPE VALLEY NORTH","Green Mill"
"R810H - GREEN MILL","Green Mill"
"R810K - MARTIN LUTHER KG/HOPE VAL","Green Mill"
"R719C - HOPE VALLEY ON RUGBY RD.","Hope Valley"
"R810S - SHERIDAN DR","Sheridan Drive"
"R802C - TURNAGE HEIGHTS","American Village"
"R812B - HILLANDALE COMMONS","Watts Hospital-Hillandale"
"R823C - VILLAGE GREEN","Omah Street"
"C823B - GUESS RD NORTH/W CARVER S","Omah Street"
"R823B - ROXBORO STADIUM DUKE HUMS","Stadium Heights"
"R823G - CRYSTAL MEADOWS","Scarsdale Village"
"R823B - ROXBORO STADIUM DUKE HUMS","Scarsdale Village"
"C823J - BROAD ST SPOT","Scarsdale Village"
"R823B - ROXBORO STADIUM DUKE HUMS","Duke Homestead"
"R823K - ROXBORO STADIUM DUKE HUMS","Duke Homestead"
"R823B - ROXBORO STADIUM DUKE HUMS","Preston Avenue"
"R823C - VILLAGE GREEN","Scarsdale Village"
"R823H - GUESS RD. NORTH OF 85","Scarsdale Village"
"R823D - SCARESDALE","Scarsdale Village"
"R824G - CANDLEWICK","Scarsdale Village"
"R824G - CANDLEWICK","Holston Meadows"
"C823H - DURHAM HOSPITAL AREA","Stadium Heights"
"R833D - OXFORD COMMONS RESIDENTAL","Bragtown"
"C823H - DURHAM HOSPITAL AREA","Bragtown"
"R833C - OLD OXFORD AND DEARBORN","Bragtown"
"R832F - CLUB & DEARBORN","Bragtown"
"R832D - GLENBROOK","Bragtown"
"C832F - CHEEK RD. EAST OF 70","Northeast Hills"
"R842C - WINDSOR HILLS","Northeast Hills"
"R813C - CROASDAILE","Croasdaile"
"R840B - MIAMI & PLEASENT","Pleasant Drive"
"R830F - ALSON AND NIXON","Unity Village"
"R830H - SOUTHEAST PARK","Emorywood Estates"
"R830B - EMORYWOOD ESTATES","Emorywood Estates"
"R830A - KIRBY ST","Emorywood Estates"
"R810L - ST ANDREWS COMMON","Dixon Road Area"
"R810J - REYNOLDS AVE","Hope Valley Forest"
"R810J - REYNOLDS AVE","Sheridan Drive"
"R719H - BRIGHTON RD.","Hope Valley Forest"
"R719F - CARLTON CROSSING","Surrey Green"
"R719H - BRIGHTON RD.","Hope Valley"
"R719D - RESIDENTIAL","Hope Valley"
"R709R - RESIDENTIAL","Valleybrook"
"R709R - RESIDENTIAL","Hope Valley"
"R719A - GREEN HOPE VALLEY","Hope Valley Green"
"R719B - HEATHERWOOD","Hope Valley"
"R709F - NORTH I40 RURAL","Valleybrook"
"R709F - NORTH I40 RURAL","The Landing at Southpoint"
"R719N - NORTH HAMPTON HILLS","Trotter Ridge"
"R709M - TROTTER RIDGE","Trotter Ridge"
"R709R - RESIDENTIAL","Bent Creek / Woodberry Forest"
"R709L - MARY HILL","Mary Dell"
"R709Q - RESIDENTIAL","Bent Creek / Woodberry Forest"
"R709J - CARRIAGE HILL","Sterling Ridge"
"R719A - GREEN HOPE VALLEY","Sunningdale"
"R810D - KNOLLWOOD","Knollwood"
"R719E - CAITHERS POINTE/LINDENOAK","Hope Valley"
"R811D - COLONY HILL CONDOS","The Commons"
"R800B - COUNTY LINE N. DUR/CH&11B","Welcome Circle"
"R801I - DANIELS FARM","Arrowhead"
"R801J - TYNDRUM","Arrowhead"
"R801K - KERLINGTON","Arrowhead"
"R800B - COUNTY LINE N. DUR/CH&11B","Lochn'ora"
"R801D - LOCHN'ORA","Lochn'ora"
"R801L - MONTVALE","Arrowhead"
"R801M - DANIELS FARM/CORNWAL ACRS","Arrowhead"
"R801E - COLONY PARK","Welcome Circle"
"R801E - COLONY PARK","Colony Park"
"R801G - GARMAN HOMES","Carillon Forest"
"R801A - CARILLAN FOREST","Carillon Forest"
"R800B - COUNTY LINE N. DUR/CH&11B","Solterra"
"R800B - COUNTY LINE N. DUR/CH&11B","Carillon Forest"
"R801C - SOLTERRA","Solterra"
"R800C - GARRETT FARMS","Garret Farms - Porchlight / Hartley"
"R709P - PICKETT EST","Hope Valley"
"R709K - BENT CREEK","Bent Creek / Woodberry Forest"
"R709K - BENT CREEK","Sterling Ridge"
"R709O - RESIDENTIAL","Bent Creek / Woodberry Forest"
"R709O - RESIDENTIAL","Everwood"
"R709F - NORTH I40 RURAL","Five Oaks"
"R709N - FIVE OAKS","Five Oaks"
"R799A - COLONY WOODS","Colony Woods"
"R708D - I40/HWY54/I40 RURAL","Eastwood Park"
"R708E - RESIDENTIAL","Eastwood Park"
"R798B - RESIDENTIAL","Downing Creek"
"R708C - RESIDENTIAL","Falconbridge"
"R707A - I40/751/FATVL/COUNTY LINE","Downing Creek"
"R708A - RESIDENTIAL","Downing Creek"
"R707A - I40/751/FATVL/COUNTY LINE","Southpoint Manor"
"R708F - RESIDENTIAL","Southpoint Manor"
"R717B - COLVARD FARMS","Colvard Farms"
"R718B - EAGEL POINT","Eagle's Pointe"
"R718B - EAGEL POINT","Buck Crossing"
"R718D - WOODCROFT","Woodcroft"
"R709F - NORTH I40 RURAL","Woodcroft"
"R718C - ROLLINGWOOD","Woodcroft"
"R719I - CROSS TIMBERS","Cross Timbers"
"R729D - HOPE VALLEY - NEW","Woodcroft"
"R719K - GREYFIELD","Hope Valley Farms North"
"R729C - CHAMBERLYNNE","Windsor Oaks"
"R729D - HOPE VALLEY - NEW","Hope Valley Farms"
"R729D - HOPE VALLEY - NEW","Windsor Oaks"
"R719G - STONE BRIDGE","Hope Valley Farms"
"R719L - REGENCY BLUFFS","Hope Valley Farms"
"R719J - GAITHERS POINTE","Hope Valley Farms"
"R729B - RESIDENTIAL","Hope Valley Farms North"
"R729D - HOPE VALLEY - NEW","Hope Valley Farms North"
"R729U - HOPE VALLEY FARMS EAST","Hope Valley Farms North"
"R729J - FAYETTEVILLE AND COOK RD","Stratford Lakes"
"R729G - BAY POINTE","Hope Valley Farms North"
"R729I - EBONT/FAYETTEVILLE RD.","Belcrest"
"R729D - HOPE VALLEY - NEW","Fortune's Ridge"
"R719K - GREYFIELD","Orchid Court"
"R729D - HOPE VALLEY - NEW","Swallows Ridge"
"R729I - EBONT/FAYETTEVILLE RD.","Woodlake"
"R729A - WOOD LAKE","Woodlake"
"R729R - WOODCREST HEMMINGWOOD","Woodlake"
"R729I - EBONT/FAYETTEVILLE RD.","Penrith"
"R729P - CHADSFORD","Penrith"
"R729Q - BARBEE MDWS","Woodlake"
"R718F - ERWINWOOD","Auburn Hills"
"R718F - ERWINWOOD","Crooked Creek"
"R718I - RESIDENTIAL","Folkestone"
"R718E - RESIDENTIAL","Crooked Creek"
"R728D - WELLINGTON FOREST","Wyndcross"
"R727A - RESIDENTIAL","Lakehurst"
"R728D - WELLINGTON FOREST","Wellington Forest"
"R728C - SEDGEWOOD","Wyndcross"
"R727E - OAKHAURST/LAKEHURST","Lakehurst"
"R707F - MSY CHAPEL/751","Chelsea Meadows"
"R707A - I40/751/FATVL/COUNTY LINE","Chelsea Meadows"
"R727A - RESIDENTIAL","Oakhaven"
"R717F - HUNINGTON RIDGE","Huntington Ridge"
"R727A - RESIDENTIAL","Huntington Ridge"
"R727A - RESIDENTIAL","Chancellor's Ridge"
"R717G - CHANCELLOR'S RIDGE TOWNHO","Chancellor's Ridge"
"R727A - RESIDENTIAL","The Hills at Southpoint"
"R727I - LAKE PARK","Lake Park"
"R727A - RESIDENTIAL","Southampton"
"R727A - RESIDENTIAL","Lake Park"
"R727B - FAIRFIELD/KINGSLEY ESTATE","Fairfield"
"R727G - RESIDENTIAL","Parkwood"
"R727F - ADUBON PARK","Audubon Park"
"R727G - RESIDENTIAL","Lake Park"
"R727G - RESIDENTIAL","Newhall Village"
"R727E - OAKHAURST/LAKEHURST","Oakhurst"
"R727E - OAKHAURST/LAKEHURST","Fairfield"
"R727D - LYONS FARM/THE OAKS/GRAND","Parkwood"
"R728B - RESIDENTIAL","Parkwood"
"R727C - SETTLERS MILL","Lakehurst"
"R727C - SETTLERS MILL","Settler's Point"
"R728B - RESIDENTIAL","Wyndcross"
"R728B - RESIDENTIAL","Wellington Forest"
"R727H - VERNA PLACE","Parkwood"
"R727H - VERNA PLACE","Audubon Park"
"R738A - AUBURN","Auburn Hills"
"R729M - PENRITH WEST AND OTHERS","Penrith"
"R738B - COPPER CREEK","Copper Creek"
"R729L - PROVIDENCE RIDGE","Penrith"
"R729L - PROVIDENCE RIDGE","Providence Ridge"
"R729I - EBONT/FAYETTEVILLE RD.","Providence Ridge"
"R729I - EBONT/FAYETTEVILLE RD.","Lochside"
"R739D - VLGS AT CORNWALLIS","Lochside"
"R739D - VLGS AT CORNWALLIS","Abercromby"
"R840A - MIAMI AND 70 RESIDENTIAL","Abercromby"
"R830D - RUSTIC OAKS","Rustica Oaks"
"R759F - STIRRUP CREEK","Stirrup Creek"
"R759E - PAGEHURST","Meadows of Pagehurst"
"R759E - PAGEHURST","Pagehurst"
"C840E - PLEASENT DR @MIAMI !","Pleasant Drive"
"R840G - RESIDENTIAL","Amberlynn Valley"
"R840A - MIAMI AND 70 RESIDENTIAL","Pleasant Drive"
"R842A - CHEEK AND CATALPA","Merrick Moore"
"R842A - CHEEK AND CATALPA","Northeast Hills"
"R833B - CROWN POINTE","Bragtown"
"R833B - CROWN POINTE","Crown Point"
"R843A - HAMLIN AND OLD OXFORD","Bragtown"
"R842B - MILAN WOODS","Milan Woods"
"R841I - HOOVER AND SOUTHERLAND","Merrick Moore"
"R851F - N FREEMAN W FLETCHERS","Gatewood Forest"
"R851D - STONEHILL","Stonehill Estates"
"R841H - CLAYTON CROSSING","Stonehill Estates"
"R851C - GREYSTONE GREEN","Stonehill Estates"
"R851B - GREENWOOD","Grove Park"
"R851E - GATEWOOD","Gatewood Forest"
"R860A - WAKE FOREST/HWY & SHARRON","Stonehill Estates"
"R860A - WAKE FOREST/HWY & SHARRON","Grove Park"
"R851A - GROVE PARK GOLT","Grove Park"
"R860A - WAKE FOREST/HWY & SHARRON","Pleasant Drive"
"R840A - MIAMI AND 70 RESIDENTIAL","Stirrup Creek"
"R840A - MIAMI AND 70 RESIDENTIAL","Ashley Forest"
"R759D - ASHLEY FIRST","Ashley Forest"
"R759C - MAGNOLIA PLACE","Ashley Forest"
"R840A - MIAMI AND 70 RESIDENTIAL","Ashton Hall"
"R860A - WAKE FOREST/HWY & SHARRON","Ashton Hall"
"R860A - WAKE FOREST/HWY & SHARRON","Orchard Ridge"
"R860A - WAKE FOREST/HWY & SHARRON","Oak Grove Community"
"R850J - GROVE PARK","Grove Park"
"R860A - WAKE FOREST/HWY & SHARRON","Ravenstone"
"R861A - 98/N. CO. LINE/85/SHARRON","Grove Park"
"R861A - 98/N. CO. LINE/85/SHARRON","Marbry Landing"
"R851B - GREENWOOD","Marbry Landing"
"R851F - N FREEMAN W FLETCHERS","Ridgefield"
"R861A - 98/N. CO. LINE/85/SHARRON","Ridgefield"
"R852A - RIDGEWOOD/RIDGEFIELD","Ridgefield"
"R842D - LANDON FARMS","Landon Farms"
"R843B - GLEN STONE","Glennstone"
"R851F - N FREEMAN W FLETCHERS","Stillwood"
"R851F - N FREEMAN W FLETCHERS","Cardinal Lake"
"R833A - STRATTON PARK","Bragtown"
"R833G - THE VILLAGES","Bragtown"
"R833H - DENFIELD AND MONK","Old Farm"
"R824J - ARGONNE HILLS","Horton Hills"
"R824G - CANDLEWICK","Horton Hills"
"R824H - HORTON HILLS","Horton Hills"
"R813C - CROASDAILE","Croasdaile Farm"
"R823A - PEPPERTREE","Omah Street"
"R823H - GUESS RD. NORTH OF 85","Omah Street"
"R813A - WATERFORD","Omah Street"
"R813G - CROASDAILE FARM SEC. 1","Croasdaile Farm"
"R813B - COLEMILL N OF 85","Cole Mill Road"
"R813E - QUAIL RIDGE","Cole Mill Road"
"R813B - COLEMILL N OF 85","Croasdaile Farm"
"R803G - HUCKLEBERRY HEIGHTS","Cole Mill Road"
"R813B - COLEMILL N OF 85","Huckleberry Heights"
"R813D - GREENWICH","Cole Mill Road"
"R803G - HUCKLEBERRY HEIGHTS","Waterford"
"R813A - WATERFORD","Waterford"
"R813A - WATERFORD","Coles Pond"
"R813A - WATERFORD","Cole Mill Road"
"R812E - DURHAM FRWY&I-85","Walden Pond"
"R812E - DURHAM FRWY&I-85","Forest Oaks"
"R802B - AMERICAN VILLAGE","American Village"
"R803A - HILLSBOROUGH & GATEHILL","Bennet Place"
"R803A - HILLSBOROUGH & GATEHILL","West Hills"
"R803C - SPRING VALLEY","Spring Valley"
"R803C - SPRING VALLEY","Myers Park/Beechgrove"
"R803E - ARCHERWOODS","Cole Mill Road"
"R803E - ARCHERWOODS","Archer Woods"
"R803G - HUCKLEBERRY HEIGHTS","Forest Acres"
"R803G - HUCKLEBERRY HEIGHTS","Huckleberry Heights"
"R803G - HUCKLEBERRY HEIGHTS","Nancy Rhodes Creek"
"R814D - UMSTEAD & STERLING","Nancy Rhodes Creek"
"R803B - ROCKY RIDGE","Myers Park/Beechgrove"
"R803B - ROCKY RIDGE","Archer Woods"
"R814D - UMSTEAD & STERLING","Cole Mill Road"
"R814D - UMSTEAD & STERLING","Myers Park/Beechgrove"
"R814D - UMSTEAD & STERLING","Fieldstone by the Eno"
"R814D - UMSTEAD & STERLING","Croasdaile Farm"
"R814D - UMSTEAD & STERLING","River's Edge"
"R814E - FIELDSTONE","Fieldstone by the Eno"
"R814E - FIELDSTONE","River's Edge"
"R814H - CABESMILL","Fieldstone by the Eno"
"R833E - SUMMER MEADOW","Summer Meadow"
"R834B - STANLEY ROAD","Bragtown"
"R834D - HILLVIEW TERRACE","Bragtown"
"R864A - 85 NORTH, COUNTY LINE","Bragtown"
"R718G - WHITNEY PARK @ SPRING HIL","Whitney Park"
"R727G - RESIDENTIAL","Audubon Park"
"R824A - OLD FARM","Old Farm"
"R803F - WESTWOOD ESTATES","Westwood Estates"
"R707F - MSY CHAPEL/751","Abron Drive"
"R727J - NBHD ADJUSTMENT","Fairfield"
"R727A - RESIDENTIAL","Fairfield"
"R825I - NORTHERN HS CITY","Eno Trace"
"R824C - STEPHENS WOODS","Stephen's Woods"
"R825I - NORTHERN HS CITY","Stephen's Woods"
"R825I - NORTHERN HS CITY","Vantage Pointe"
"R834E - ERO TRACE","Eno Trace"
"R834E - ERO TRACE","Bluffs of the Eno"
"R834F - VANTAGE POINTE","Vantage Pointe"
"R824B - RIVER OAKS","River Forest"
"R824E - LATTA ROAD","Lochaven Hills"
"R814G - PLACID VALLEY","Willowhaven"
"R804A - COUNTRY CLUB","Willowhaven"
"R814D - UMSTEAD & STERLING","Placid Valley"
"R814G - PLACID VALLEY","Placid Valley"
"R814D - UMSTEAD & STERLING","Willowhaven"
"R804A - COUNTRY CLUB","Country Club Heights"
"R804C - WILLOW RIDGE","Country Club Heights"
"R804C - WILLOW RIDGE","Inverness Drive"
"R804B - WILLOW HAVEN","Inverness Drive"
"R804B - WILLOW HAVEN","Heather Glen"
"R814F - HAVENHILL","North Durham Community"
"R815B - GREY MOSS","North Durham Community"
"R814D - UMSTEAD & STERLING","Eno Commons"
"T814A - ENOCOMMONS","Eno Commons"
"R824E - LATTA ROAD","Lattamoor"
"R824F - WELLINGTON","Lattamoor"
"R824E - LATTA ROAD","Pine Valley"
"R824E - LATTA ROAD","Latta Woods"
"R824D - LATTA WOODS","Latta Woods"
"R864A - 85 NORTH, COUNTY LINE","Treyburn"
"R825H - NORTHERN HS RESIDENTIAL","Vantage Pointe"
"R825B - ASHFIELD PLACE","Pine Valley"
"R815A - AUTUMN RIDGE","Autumn Ridge"
"R816C - LEBANON","Autumn Ridge"
"R815A - AUTUMN RIDGE","Grande Park"
"R805A - HEATHER RIDGE","Heather Glen"
"R816C - LEBANON","Heather Glen"
"R805A - HEATHER RIDGE","Willowhaven"
"R804B - WILLOW HAVEN","Willowhaven"
"R815D - CREEKSIDE","Heather Glen"
"R815F - LEBANON ACRES","Heather Glen"
"R815G - FITZFORD ESTATE","Willowhaven"
"R815G - FITZFORD ESTATE","Heather Glen"
"R816C - LEBANON","Willow Hill"
"R816F - WILLIOW HILL","Willow Hill"
"R825H - NORTHERN HS RESIDENTIAL","Barclay to Sandlewood"
"R835B - SNOWHILL RD.","Treyburn"
"R846C - CHAMPIONS POINTE","Treyburn"
"R835B - SNOWHILL RD.","Barclay to Sandlewood"
"R816C - LEBANON","Deer Forest"
"R836B - BAHAMA SOUTH","Treyburn"
"R817E - FOX DEN","Fox Run"
"R817B - NORTH FORK","Fox Run"
"R920B - ROUGEMONT","Rougemont"
"C829A - N ROXBORO RD/RED MTN","Rougemont"
"R829B - SUMMERWIND FARM","Rougemont"
"R920A - RED MOUNTAIN","Rougemont"
"R837D - BAHAMA CENTRAL","Bahama"
"R827A - BAHAMA RUAL","Treyburn"
"R846B - TREYBURN LOBLOLLY","Treyburn"
"R846A - TREYBURN","Treyburn"
"R769A - 70 RES WAKE LINE","Carolina Arbors"
"R810I - GLIDEWAY","Hope Valley Downs"
"R717F - HUNINGTON RIDGE","Chelsea Meadows"
"R802C - TURNAGE HEIGHTS","Forest Oaks"
"R814I - MARYWOOD","River's Edge"
"R718A - THE RESERVE","Eagle's Pointe"
"R759B - ALEXANDER CROSSING","Stirrup Creek"
"R852B - AUTUM LEAF","Cardinal Lake"
"T840A - AMBER LYNN","Amberlynn Valley"
"R860B - RAVENSTON","Ravenstone"
"R717I - OAKHAVEN","Oakhaven"
"R749B - BRADBUBY GLEN","Bradbury Glen"
"R749C - BRADBUBY TRACE","Bradbury Trace"
"C831E - ELIZABETH C&I","Cleveland-Holloway"
"R834C - SWANNS MILL","Swann's Mill"
"R739E - LOCHSIDE","Lochside"
"R802A - AMERICAN VILLAGE","American Village"
"R729K - CHADS FORD","Penrith"
"T846B - TREYBURN I8 TWNHMS","Treyburn"
"R852F - STILLWOOD","Stillwood"
"R850I - BRIGHTWOOD TRIALS","Brightwood Trails"
"R729E - ALBEN ST.","Wynstead"
"R800B - COUNTY LINE N. DUR/CH&11B","American Village"
"R850F - BRIGHT LEAF AT PARK P2","Brightleaf at the Park"
"R850A - BRIGHT LEAF AT THE PARK","Brightleaf at the Park"
"R850E - BRIGHT LEAF AT PARK P1","Brightleaf at the Park"
"R850H - BRIGHTLEAF AT THE PARK","Brightleaf at the Park"
"R709I - EVERWOOD","Everwood"
"R803D - GREY LEE DR.","Nancy Rhodes Creek"
"R800B - COUNTY LINE N. DUR/CH&11B","Colony Park"
"R717H - SOUTHAMPTON","Southampton"
"R727D - LYONS FARM/THE OAKS/GRAND","Fairfield"
"R850B - ASHTON HALL","Ashton Hall"
"R729H - BELCREST","Belcrest"
"R717D - THE HILLS AT SOUTHPOINT","The Hills at Southpoint"
"R801H - CERAMORE","Arrowhead"
"R727B - FAIRFIELD/KINGSLEY ESTATE","Oakhurst"
"R850I - BRIGHTWOOD TRIALS","Oak Grove Community"
"R850D - BRIGHT LEAF AT PARK P3","Brightleaf at the Park"
"R850C - ORCHARD RIDGE","Orchard Ridge"
"R729C - CHAMBERLYNNE","Hope Valley Farms North"
"R769C - ARBORS","Carolina Arbors"
"R850I - BRIGHTWOOD TRIALS","Ravenstone"
"R727D - LYONS FARM/THE OAKS/GRAND","Lake Park"
"R717J - RESIDENTIAL","Oakhaven"
"R708R - CHAPEL RUN","Eastwood Park"
"R813H - VALLEY SPRINGS","Nancy Rhodes Creek"
"R813H - VALLEY SPRINGS","Huckleberry Heights"
"R833I - MAGNOLIA CREEK","Bragtown"
"T833B - THE VILLAGE TOWNS","Bragtown"
"R800F - CANTERBURY","Colony Park"
"R800G - CRESSET OVERLOOK","Garret Farms - Porchlight / Hartley"
"T860A - DOGWOOD POINTE","Ravenstone"
"R717L - COLVARD FARMS PHASE 10","Colvard Farms"
"R830I - TOWNES AT COURTNEY CREEK","Emorywood Estates"
"R813L","Croasdaile Farm"
"R842T - HOMES STARTING IN THE 380S --- KB HOMES BUILDER","Landon Farms"
"R707U - 751 SOUTH FUTURE USE","Colvard Farms"
